Date, Time, AB, H, EBH, HR, HHA, AVG, SLG, LPH, Points, LD %, FB %, GB %, AvgV, MaxV, Dist, Tag
4/24/2019, 7:39 PM, 108, 59, 46, 18, .250, .546, 1.306, .481, 5745, 23, 58, 19, 77.3, 93.7, 380, 
4/24/2019, 7:30 PM, 19, 12, 3, 0, .211, .632, .789, .737, 1000, 53, 32, 16, 80.6, 93.2, 315, 
4/20/2019, 4:30 PM, 212, 117, 78, 36, .316, .552, 1.264, .608, 11557, 29, 52, 18, 79.4, 96.2, 375, 
4/11/2019, 7:16 PM, 139, 82, 67, 18, .324, .590, 1.331, .727, 9004, 40, 51, 9, 82.3, 94.4, 385, 
4/10/2019, 8:16 PM, 76, 40, 27, 18, .329, .526, 1.355, .618, 4237, 29, 66, 5, 82.7, 96.4, 395, 
4/6/2019, 7:31 AM, 51, 23, 7, 1, .059, .451, .627, .392, 1812, 33, 39, 27, 71.9, 89.2, 340, 
4/4/2019, 8:06 AM, 64, 27, 16, 5, .172, .422, .828, .406, 2616, 23, 55, 22, 74.9, 92.4, 360, 
3/31/2019, 5:17 PM, 38, 24, 17, 7, .500, .632, 1.447, .895, 2586, 39, 50, 11, 84.5, 96.1, 378, 
3/31/2019, 4:55 PM, 64, 30, 19, 2, .172, .469, .828, .516, 3165, 34, 53, 12, 78.5, 93.0, 349, curve balls
3/31/2019, 4:42 PM, 50, 27, 20, 0, .320, .540, .940, .580, 2803, 26, 60, 14, 83.0, 91.7, 349, 
3/31/2019, 4:13 PM, 74, 47, 38, 16, .338, .635, 1.581, .689, 4936, 35, 58, 7, 83.8, 96.8, 400, 
3/30/2019, 9:16 AM, 25, 16, 13, 6, .520, .640, 1.640, .920, 1831, 40, 60, 0, 85.4, 92.5, 378, 
3/30/2019, 8:44 AM, 29, 14, 9, 0, .000, .483, .793, .241, 1065, 24, 55, 21, 72.6, 87.9, 348, 
3/22/2019, 5:26 PM, 8, 5, 4, 1, .375, .625, 1.375, .875, 553, 50, 38, 12, 84.7, 91.0, 336, 
3/22/2019, 2:45 PM, 206, 117, 80, 28, .350, .568, 1.243, .675, 11708, 33, 54, 14, 79.2, 95.7, 384, 
3/17/2019, 6:04 PM, 181, 108, 86, 41, .331, .597, 1.530, .602, 10845, 27, 69, 4, 80.6, 97.8, 401, Breaking balls. 
3/17/2019, 5:49 PM, 32, 16, 12, 0, .031, .500, .875, .313, 1376, 28, 66, 6, 76.7, 88.3, 346, 
3/12/2019, 7:30 PM, 69, 32, 22, 4, .217, .464, .899, .493, 3286, 28, 61, 12, 79.3, 96.4, 370, 
3/5/2019, 8:25 PM, 78, 36, 23, 2, .218, .462, .808, .526, 4117, 31, 51, 18, 82.1, 95.6, 373, 
3/5/2019, 8:13 PM, 36, 27, 17, 3, .333, .750, 1.389, .694, 2246, 36, 47, 17, 82.1, 94.8, 354, 
3/5/2019, 7:53 PM, 17, 12, 7, 0, .471, .706, 1.235, 1.059, 1238, 59, 35, 6, 86.5, 93.7, 363, 
3/5/2019, 7:28 PM, 76, 45, 32, 15, .434, .592, 1.408, .776, 4755, 34, 54, 12, 81.6, 96.0, 397, 
2/26/2019, 8:45 PM, 45, 29, 21, 10, .511, .644, 1.644, .756, 3151, 24, 62, 13, 82.8, 94.8, 390, 
2/22/2019, 2:52 PM, 113, 63, 49, 11, .327, .558, 1.186, .628, 6828, 30, 55, 15, 81.6, 92.8, 376, 
2/19/2019, 9:01 PM, 73, 44, 36, 16, .397, .603, 1.534, .685, 4661, 29, 63, 8, 83.2, 95.6, 384, 
2/19/2019, 6:24 PM, 89, 42, 31, 10, .303, .472, 1.045, .517, 4937, 21, 71, 8, 82.4, 95.7, 382, 
2/16/2019, 9:12 AM, 3, 2, 1, 0, .333, .667, 1.000, 1.000, 250, 67, 33, 0, 87.5, 93.4, 326, 
2/16/2019, 8:37 AM, 89, 42, 27, 2, .146, .472, .820, .483, 4109, 34, 52, 15, 77.8, 92.9, 348, 
2/15/2019, 12:55 PM, 59, 26, 20, 6, .424, .441, .983, .729, 3393, 31, 54, 15, 82.2, 97.1, 382, 
